Timestamp,Temperature,Humidity,Vibration,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
15:52:19,282.00,4096.00,0,9.58,0.62,-1.83,-0.04,-0.00,0.00
15:52:19,282.00,4096.00,0,9.61,0.62,-1.92,-0.04,-0.00,-0.00
15:52:23,0.00,0.00,0,9.58,0.63,-1.84,-0.04,-0.00,0.00
15:52:23,0.00,0.00,0,9.60,0.62,-1.89,-0.04,-0.00,-0.00
15:52:24,0.00,0.00,0,9.62,0.61,-1.90,-0.04,-0.00,0.00
15:52:24,0.00,0.00,0,9.58,0.61,-1.91,-0.04,-0.00,0.00
15:52:25,0.00,0.00,0,9.59,0.59,-1.92,-0.04,-0.00,0.00
15:52:25,0.00,0.00,0,9.59,0.63,-1.87,-0.04,-0.00,0.00
15:52:26,0.00,0.00,0,9.58,0.62,-1.88,-0.04,-0.00,0.00
15:52:26,0.00,0.00,0,9.61,0.63,-1.89,-0.04,-0.01,-0.00
15:52:27,0.00,0.00,0,9.57,0.64,-1.85,-0.04,0.00,0.00
15:52:27,0.00,0.00,0,9.59,0.61,-1.87,-0.04,-0.00,0.00
15:52:28,0.00,0.00,0,9.60,0.60,-1.90,-0.04,0.00,-0.00
15:52:28,0.00,0.00,0,9.57,0.61,-1.86,-0.04,-0.00,0.00
15:52:29,282.00,4096.00,0,9.60,0.61,-1.90,-0.04,-0.00,0.00
15:52:29,282.00,4096.00,0,9.58,0.61,-1.90,-0.04,-0.00,0.00
15:52:30,282.00,4096.00,0,9.59,0.62,-1.86,-0.04,-0.00,0.00
15:52:30,282.00,4096.00,0,9.56,0.57,-1.83,-0.04,0.00,0.00
15:52:31,282.00,4096.00,0,9.57,0.59,-1.89,-0.04,-0.00,0.00
15:52:32,282.00,4096.00,0,9.58,0.63,-1.88,-0.04,-0.00,0.00
15:52:32,282.00,4096.00,0,9.60,0.59,-1.90,-0.04,-0.00,0.00
15:52:33,294.40,4096.00,0,9.58,0.59,-1.89,-0.04,-0.00,0.00
15:52:33,294.40,4096.00,0,9.59,0.63,-1.87,-0.04,-0.01,0.00
15:52:34,294.40,4096.00,0,9.58,0.59,-1.89,-0.04,-0.00,0.00
15:52:34,294.40,4096.00,0,9.60,0.62,-1.89,-0.04,-0.00,0.00
15:52:35,294.40,4096.00,0,9.57,0.63,-1.82,-0.04,-0.00,0.00
15:52:35,294.40,4096.00,0,9.58,0.62,-1.83,-0.04,-0.00,0.00
15:52:36,294.40,4096.00,0,9.58,0.60,-1.83,-0.04,-0.00,0.00
15:52:36,294.40,4096.00,0,9.60,0.62,-1.90,-0.04,-0.01,0.00
15:52:37,294.40,4096.00,0,9.59,0.60,-1.84,-0.04,-0.00,0.00
15:52:37,294.40,4096.00,0,9.58,0.62,-1.84,-0.04,0.00,0.00
15:52:38,294.40,4096.00,0,9.57,0.64,-1.85,-0.04,-0.00,0.00
15:52:38,294.40,4096.00,0,9.58,0.61,-1.86,-0.04,-0.00,0.00
15:52:39,294.40,4096.00,0,9.58,0.61,-1.90,-0.04,0.00,0.00
15:52:40,294.40,4096.00,0,9.59,0.64,-1.86,-0.04,-0.00,0.00
15:52:40,294.40,4096.00,0,9.56,0.60,-1.86,-0.04,0.00,0.00
15:52:41,294.40,4096.00,0,9.57,0.61,-1.83,-0.04,-0.00,0.00
15:52:41,294.40,4096.00,0,9.55,0.63,-1.93,-0.04,-0.01,0.00
15:52:42,294.40,4096.00,0,9.57,0.58,-1.92,-0.04,-0.00,0.00
15:52:42,294.40,4096.00,0,9.60,0.63,-1.89,-0.04,-0.00,-0.00
15:52:43,294.40,4096.00,0,9.56,0.60,-1.87,-0.04,0.00,-0.00
15:52:43,294.40,4096.00,0,9.58,0.59,-1.93,-0.04,-0.00,0.00
15:52:44,294.40,4096.00,0,9.59,0.62,-1.87,-0.04,-0.00,0.00
15:52:44,294.40,4096.00,0,9.62,0.59,-1.92,-0.04,-0.00,0.00
15:52:45,294.40,4096.00,0,9.58,0.60,-1.82,-0.04,-0.00,0.00
15:52:45,294.40,4096.00,0,9.56,0.57,-1.89,-0.04,-0.00,0.00
15:52:46,294.40,4096.00,0,9.58,0.64,-1.86,-0.04,-0.00,0.00
15:52:46,294.40,4096.00,0,9.58,0.59,-1.95,-0.04,-0.00,-0.00
15:52:47,282.00,4096.00,0,9.58,0.59,-1.87,-0.04,-0.00,0.00
15:52:47,282.00,4096.00,0,9.56,0.62,-1.85,-0.04,-0.00,0.00
15:52:48,282.00,4096.00,0,9.57,0.60,-1.92,-0.04,-0.00,0.00
15:52:49,282.00,4096.00,0,9.59,0.62,-1.89,-0.04,-0.00,0.00
15:52:49,282.00,4096.00,0,9.58,0.59,-1.87,-0.04,-0.00,0.00
15:52:50,282.00,4096.00,0,9.59,0.62,-1.88,-0.04,-0.00,-0.00
15:52:50,282.00,4096.00,0,9.60,0.60,-1.90,-0.04,-0.00,0.00
15:52:51,282.00,4096.00,0,9.60,0.63,-1.90,-0.04,-0.01,0.00
15:52:51,294.40,4096.00,0,9.60,0.63,-1.92,-0.04,-0.01,-0.00
15:52:52,294.40,4096.00,0,9.57,0.62,-1.86,-0.04,-0.01,0.00
15:52:52,294.40,4096.00,0,9.58,0.63,-1.85,-0.04,-0.00,0.00
15:52:53,282.00,4096.00,0,9.56,0.61,-1.89,-0.04,-0.01,0.00
15:52:53,282.00,4096.00,0,9.59,0.61,-1.84,-0.04,-0.00,0.00
15:52:54,282.00,4096.00,0,9.58,0.57,-1.89,-0.04,-0.00,0.00
15:52:54,282.00,4096.00,0,9.58,0.64,-1.86,-0.04,-0.01,0.00
15:52:55,282.00,4096.00,0,9.59,0.61,-1.88,-0.04,-0.00,0.00
15:52:55,282.00,4096.00,0,9.58,0.61,-1.87,-0.04,-0.00,0.00
15:52:56,282.00,4096.00,0,9.58,0.59,-1.86,-0.04,0.00,0.00
15:52:57,282.00,4096.00,0,9.59,0.63,-1.90,-0.04,-0.00,0.00
15:52:57,282.00,4096.00,0,9.58,0.61,-1.89,-0.04,-0.00,-0.00
15:52:58,282.00,4096.00,0,9.57,0.60,-1.88,-0.04,-0.01,0.00
15:52:58,282.00,4096.00,0,9.60,0.64,-1.84,-0.04,0.00,0.00
15:52:59,282.00,4096.00,0,9.58,0.61,-1.88,-0.04,-0.01,-0.00
15:52:59,294.40,4096.00,0,9.58,0.61,-1.89,-0.04,-0.00,-0.00
15:53:00,294.40,4096.00,0,9.59,0.60,-1.90,-0.04,-0.00,0.00
15:53:00,294.40,4096.00,0,9.61,0.62,-1.88,-0.04,-0.00,0.00
15:53:01,294.40,4096.00,0,9.59,0.58,-1.89,-0.04,-0.00,0.00
