Timestamp,Temperature,Humidity,Vibration,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,AccelMagnitude,GyroMagnitude,Temp_Change,Accel_Change,Failure
2025-04-11 22:27:54,0.0,0.0,0,8.28,0.02,-5.22,-0.04,-0.0,0.0,9.78811524247646,0.04,0.0,0.0,1
2025-04-11 22:27:55,0.0,0.0,0,8.29,0.03,-5.18,-0.04,-0.0,0.0,9.775346541171826,0.04,0.0,-0.012768701304633367,1
2025-04-11 22:27:55,0.0,0.0,0,8.27,0.01,-5.25,-0.04,-0.0,0.0,9.795687826793992,0.04,0.0,0.020341285622166083,1
2025-04-11 22:27:56,0.0,0.0,0,8.28,0.04,-5.19,-0.04,-0.0,0.0,9.77221059944985,0.04,0.0,-0.02347722734414326,1
2025-04-11 22:27:56,0.0,0.0,0,8.27,0.01,-5.2,-0.04,-0.0,0.0,9.768981523168113,0.04,0.0,-0.0032290762817357432,1
2025-04-11 22:27:57,0.0,0.0,0,8.27,0.02,-5.24,-0.04,-0.0,0.0,9.790347286996514,0.04,0.0,0.02136576382840083,1
2025-04-11 22:27:57,0.0,0.0,0,8.29,0.03,-5.21,-0.04,-0.0,0.0,9.791276729824359,0.04,0.0,0.0009294428278447953,1
2025-04-11 22:27:58,0.0,0.0,0,8.24,0.02,-5.25,-0.04,-0.0,0.0,9.770388938010605,0.04,0.0,-0.02088779181375422,1
2025-04-11 22:27:58,0.0,0.0,0,8.23,0.02,-5.25,-0.04,-0.0,-0.0,9.761956771057736,0.04,0.0,-0.008432166952868414,1
2025-04-11 22:27:59,0.0,0.0,0,8.29,0.0,-5.2,-0.04,0.0,0.0,9.785913345212085,0.04,0.0,0.023956574154349042,1
2025-04-11 22:27:59,0.0,0.0,0,8.27,0.01,-5.15,-0.04,-0.03,-0.0,9.742458621929067,0.05,0.0,-0.043454723283018026,1
2025-04-11 22:28:00,0.0,0.0,0,8.29,0.01,-5.22,-0.04,0.04,0.01,9.796560620952642,0.05744562646538029,0.0,0.054101999023574265,1
2025-04-11 22:28:00,0.0,0.0,0,8.57,0.02,-3.28,-0.03,0.7,-0.03,9.176257407026025,0.7012845356914695,0.0,-0.6203032139266167,1
2025-04-11 22:28:02,0.0,0.0,0,-102.81,-101.75,-156.91,10.63,10.63,0.19,213.40971557077714,15.034290804690457,0.0,204.23345816375112,1
2025-04-11 22:28:03,0.0,0.0,0,-12.6,80.9,0.09,12.26,12.45,-0.22,81.87538152582864,17.474510007436546,0.0,-131.53433404494848,1
2025-04-11 22:28:03,0.0,0.0,0,-101.75,-156.91,56.39,0.05,-16.43,-0.22,195.32957456565558,16.431548922727888,0.0,113.45419303982693,1
2025-04-11 22:28:04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.32957456565558,0
2025-04-11 22:28:04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:07,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 22:28:08,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
